10,0.5,3.1,56,53,3,667,11.58490566,0.92053973,9.2,270,1,92.64
14,0.3,7.7,54,59,8.6,747,11.66101695,0.921017403,9.1,261,1,100.1
4.59,0.3,7.5,103,64,6,634,8.90625,0.899053628,9.8,264,1,106.8
6,0.5,4.6,67,33,5,800,23.24242424,0.95875,9.03,220,1,99.3
6.56,0.3,2.2,2.2,31,8,250,7.064516129,0.876,3,200,0.7,32.1
11,0.1,2.9,17,50.2,9,255,4.079681275,0.803137255,3.2,227,0.7,39.5
9,0.5,3.1,8,19,9,310,15.31578947,0.938709677,2.2,220,0.5,21
5.79,0.3,2.4,1,44.8,12,200,3.464285714,0.776,6.7,166,0.7,42.3
5,0.1,2,16,28,11.5,450,15.07142857,0.937777778,8,120,1,64.8
4,0.1,1.2,24,15,10.5,300,19,0.95,4,200,0.7,36
5,0.3,2,12,28,11,300,9.714285714,0.906666667,2.8,200,0.5,32
6,0.3,2.5,14,44,11,340,6.727272727,0.870588235,6.3,200,1,68.5
11.69,0.5,5.2,25.98,66.18,18,650,8.821698398,0.898184615,7.6,220,1,53.21
8.14,0.5,5.05,7.05,60.52,27,507,7.377395902,0.880631164,7.5,160,1,80.49
9,0.9,3.6,4,9,12,240,25.66666667,0.9625,8,200,1,76
4,0.5,2,12,12,22,300,24,0.96,4.5,160,1,48
4,0.7,2,16,8,17,80,9,0.9,3,160,1,38
4,0.3,3.1,4.5,40,9,189,3.725,0.788359788,4.5,161,1,58.5
6.8,0.5,5.2,42,22,4,400,17.18181818,0.945,3.3,130,1,71
3,0.5,1.8,18,5,17,70,13,0.928571429,3,150,1,36
9.93,0.5,6.95,4.44,138.53,5,883.65,5.378762723,0.843229786,5.82,260,1,70
10,0.1,2.3,0,223.69,17.2,739,2.303679199,0.697307172,2.4,150,1,33.8
13.6,0.7,6.5,0,353,4,1002,1.838526912,0.647704591,4.17,150,1,49.4
